Model Size,Task,Classifier,Seed,C,gamma,kernel,colsample_bytree,learning_rate,max_depth,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample
small_multitask_mask_45,link,SVM,1,37.137282635707706,0.002352959348061621,rbf,,,,,,,,
small_multitask_mask_45,link,SVM,2,1.2484030808286068,,linear,,,,,,,,
small_multitask_mask_45,link,LGBM,0,,,,0.9113381928103637,0.2527153290697111,10.0,706.0,20.0,0.7388193931449273,1.049491420242894,0.9887780009998663
small_multitask_mask_45,link,LGBM,1,,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026
small_multitask_mask_45,link,LGBM,2,,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403
medium_multitask_mask_45,domain,SVM,0,0.44103656679709824,,linear,,,,,,,,
medium_multitask_mask_45,domain,SVM,1,37.137282635707706,0.002352959348061621,rbf,,,,,,,,
medium_multitask_mask_45,domain,SVM,2,1.275466815572557,0.003867464027059848,rbf,,,,,,,,
medium_multitask_mask_45,domain,LGBM,0,,,,0.6284144232791548,0.013449326615130807,8.0,855.0,99.0,4.074144654166231,8.626905220714901,0.9196634256866895
medium_multitask_mask_45,domain,LGBM,1,,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188
medium_multitask_mask_45,domain,LGBM,2,,,,0.9973065177846362,0.029223525724947828,17.0,866.0,60.0,0.11508696467556201,0.25323718685559815,0.7096693037561841
medium_multitask_mask_45,kingdom,SVM,0,0.44103656679709824,,linear,,,,,,,,
medium_multitask_mask_45,kingdom,SVM,1,37.137282635707706,0.002352959348061621,rbf,,,,,,,,
medium_multitask_mask_45,kingdom,SVM,2,1.275466815572557,0.003867464027059848,rbf,,,,,,,,
medium_multitask_mask_45,kingdom,LGBM,0,,,,0.6284144232791548,0.013449326615130807,8.0,855.0,99.0,4.074144654166231,8.626905220714901,0.9196634256866895
medium_multitask_mask_45,kingdom,LGBM,1,,,,0.6256269319352868,0.03348393485775916,14.0,950.0,91.0,2.064357902558233,0.08018284955354678,0.9090956587110308
medium_multitask_mask_45,kingdom,LGBM,2,,,,0.6988708955989413,0.012565517436629859,15.0,955.0,63.0,2.516373212772269,0.6389271811451119,0.9059839441806726
