GlyTouCan ID,IUPAC Condensed,Subsumption Level,Monoisotopic Mass
G00706YM,Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Linkage-defined saccharide,2151.78
G00758FQ,Glc(a1-4)[Fuc(b1-3)]Gal,Linkage-defined saccharide,488.17
G00808QE,Kdn(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Kdn(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc,Linkage-defined saccharide,1937.65
G00747UC_2,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,2370.86
G00761OX,Glc(b1-6)Glc(b1-6)Glc(b1-4)Glc,Linkage-defined saccharide,666.22
G00810PC,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,2151.78
G00874FC,GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal,Linkage-defined saccharide,732.28
G00868ZT,Gal(b1-4)GlcNAc(b1-6)Gal(b1-3)GlcNAc,Linkage-defined saccharide,748.27
G00883ZT,Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1558.54
G00900AZ,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Linkage-defined saccharide,1462.54
G00897HZ,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)[GalNAc(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,3053.14
G00952LS,Fuc(a1-2)Gal(b1-3)[GalNAc(b1-6)]GalNAc,Linkage-defined saccharide,732.28
G00993GV,Gal(b1-3)GalNAc(b1-4)GlcNAc(b1-3)Man(b1-4)Glc,Linkage-defined saccharide,910.33
G00994PP,Gal(b1-4)Rha(a1-4)GalA(a1-2)Rha(a1-4)GalA(a1-2)[Gal(b1-4)]Rha(a1-4)GalA,Linkage-defined saccharide,1308.39
G01003PN,GalNAc(a1-3)GlcNAc(a1-3)GalA,Linkage-defined saccharide,600.2
G00978TF,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1275.46
G00915XC,GalNAc(b1-4)GlcNAc(b1-2)[GalNAc(b1-4)GlcNAc(b1-4)]Man(a1-3)[GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,2128.8
G01021TH,GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)][Xylf(b1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1569.56
G01077MG,GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc,Linkage-defined saccharide,935.36
G01028FJ,Man(a1-2)Man(a1-2)Man(a1-3)[Galf(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1720.59
G01029DM,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)Glc,Linkage-defined saccharide,2491.88
G01111PL,Man(a1-3)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)][Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,1040.39
G01144AC,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,Linkage-defined saccharide,1729.63
