,[GRAPH_TOKEN],[NULL_TOKEN],Kdn(ID:0),Gal(ID:1),GlcNAc(ID:2),Neu5Ac(ID:3),Gal(ID:4),GlcNAc(ID:5),Man(ID:6),Neu5Ac(ID:7),Gal(ID:8),GlcNAc(ID:9),Gal(ID:10),AllNAc(ID:11),Man(ID:12),Man(ID:13),GlcNAc(ID:14),Fuc(ID:15),GlcNAc(ID:16),a2-3(0->1),b1-4(1->2),b1-2(2->6),a2-3(3->4),b1-4(4->5),b1-4(5->6),a1-3(6->13),a2-3(7->8),b1-4(8->9),b1-2(9->12),b1-4(10->11),b1-6(11->12),a1-6(12->13),b1-4(13->14),b1-4(14->16),a1-6(15->16)
GlcNAc(ID:9),0.010593006,0.011607349,0.029216873,0.025461545,0.0126504805,0.008197771,0.028443744,0.011729382,0.016266547,0.007850686,0.024613114,0.015680643,0.025876109,0.023185119,0.015440844,0.013610439,0.012128351,0.024939666,0.0147132315,0.04137274,0.005324284,0.10697977,0.053427957,0.0065710777,0.019039847,0.014438583,0.04266364,0.0070448117,0.04726643,0.007685272,0.23270455,0.012874738,0.00887771,0.020001708,0.041521996
Gal(ID:10),0.018804945,0.01844573,0.05869591,0.009793894,0.027055534,0.01135953,0.011067412,0.031063072,0.016196528,0.01499174,0.010389247,0.024857711,0.016774036,0.020915456,0.014170956,0.025913917,0.02067882,0.0051879995,0.018075615,0.01047086,0.012741605,0.17116427,0.015193239,0.023848878,0.037671417,0.013732204,0.012354173,0.01860521,0.043047942,0.014277884,0.13896014,0.00986868,0.028511865,0.03559461,0.039518975
AllNAc(ID:11),0.01251073,0.013086077,0.021983705,0.032010783,0.015217964,0.013383983,0.034415584,0.014221468,0.016503807,0.013422398,0.029730193,0.016680876,0.034226265,0.017303951,0.015411655,0.017489076,0.016002055,0.016012983,0.014317373,0.03280721,0.0096116075,0.084264204,0.036655575,0.010019396,0.020608574,0.019880451,0.033866584,0.010247669,0.054718625,0.009256612,0.21613932,0.018760674,0.012510929,0.02080861,0.04591304
Man(ID:12),0.017389666,0.016877018,0.023480471,0.0115764355,0.019465387,0.012495703,0.011812223,0.017773166,0.01925294,0.015021811,0.01141116,0.018228544,0.021379575,0.025144434,0.023261514,0.016297553,0.025214016,0.029075263,0.02130992,0.016637763,0.01308142,0.12194395,0.020244874,0.013622336,0.038918085,0.022801397,0.017331934,0.012984846,0.08723131,0.019053947,0.14880371,0.017789422,0.018151112,0.03033609,0.044601016
Man(ID:13),0.019989705,0.019315831,0.031507272,0.012730969,0.022890652,0.014764641,0.013232776,0.025170935,0.016720202,0.014991934,0.012242199,0.025398206,0.025148768,0.029709572,0.020398196,0.015503971,0.0323199,0.020556116,0.021618998,0.014979908,0.015027311,0.12265411,0.01816775,0.018320292,0.041324224,0.019153208,0.015683774,0.01715774,0.095947266,0.019731795,0.099953085,0.015751123,0.023919035,0.027224274,0.04079426
GlcNAc(ID:14),0.014387338,0.014743268,0.022037778,0.027117737,0.019263038,0.011729133,0.030532045,0.012971255,0.019313633,0.012590619,0.025440456,0.018608458,0.032334156,0.033475414,0.017319692,0.017726578,0.020482935,0.01277216,0.01878619,0.03577515,0.0115065435,0.09764077,0.047622003,0.007898353,0.041106664,0.01742893,0.033584137,0.010901276,0.061213333,0.013426819,0.15772697,0.015848212,0.02263092,0.017690448,0.02636759
Fuc(ID:15),0.01899637,0.020629331,0.07110295,0.02526296,0.025594667,0.014405659,0.027648417,0.01169025,0.024114477,0.019950658,0.02509873,0.029144809,0.038821317,0.020741127,0.024116147,0.01504921,0.012675481,0.020427935,0.016004639,0.018944282,0.021766772,0.093133286,0.018999018,0.009787153,0.03151907,0.029525984,0.019377235,0.02930952,0.038176924,0.02701944,0.0955683,0.019891165,0.010057285,0.028932981,0.04651647
GlcNAc(ID:16),0.0124402875,0.012965439,0.022418283,0.029544504,0.0164721,0.013520056,0.033583455,0.015919164,0.027083956,0.014336332,0.027268283,0.027616192,0.032101005,0.024276007,0.024248604,0.02544769,0.01789322,0.01286722,0.018390238,0.03581426,0.011712861,0.057450846,0.04624567,0.014161256,0.061102882,0.025522446,0.037718583,0.017911099,0.052420903,0.016820416,0.123821124,0.022490902,0.018868975,0.02610978,0.023435945
a2-3(0->1),0.022499226,0.02216104,0.025128758,0.015499825,0.031153617,0.019039307,0.016171247,0.028520381,0.02188826,0.02173504,0.015088976,0.0319199,0.020028098,0.03427799,0.023761272,0.02328016,0.028484445,0.018616505,0.028541084,0.016122727,0.026818626,0.07330109,0.019761518,0.027064808,0.04047586,0.022431893,0.015977276,0.03100548,0.032288324,0.02805087,0.09101151,0.02154936,0.030746851,0.03966441,0.035934262
b1-4(1->2),0.015062234,0.01697544,0.019795438,0.030659104,0.016944673,0.0114917485,0.036467776,0.01398458,0.024273556,0.01023058,0.031008169,0.021174826,0.030364107,0.04432554,0.022606973,0.01925292,0.012779664,0.019932099,0.015231816,0.036115967,0.010770288,0.0650717,0.041445475,0.010139546,0.030330513,0.022236468,0.03703409,0.015161626,0.03557163,0.012891558,0.16990604,0.019540496,0.011512521,0.036047533,0.03366331
