,[GRAPH_TOKEN],[NULL_TOKEN],Gal(ID:0),Fuc(ID:1),GlcNAc(ID:2),Gal(ID:3),Gal(ID:4),GlcNAc(ID:5),Man(ID:6),GlcNAc(ID:7),Gal(ID:8),GlcNAc(ID:9),Gal(ID:10),GlcNAc(ID:11),Gal(ID:12),Fuc(ID:13),GlcNAc(ID:14),Man(ID:15),Man(ID:16),GlcNAc(ID:17),Fuc(ID:18),AllNAc(ID:19),b1-4(0->2),a1-3(1->2),b1-2(2->6),a1-3(3->4),b1-4(4->5),b1-4(5->6),a1-3(6->16),b1-4(7->16),b1-4(8->9),b1-3(9->10),b1-4(10->11),b1-2(11->15),b1-4(12->14),a1-3(13->14),b1-6(14->15),a1-6(15->16),b1-4(16->17),b1-4(17->19),a1-6(18->19)
Gal(ID:8),0.023837648,0.024090905,0.024150824,0.024216307,0.024104828,0.024175948,0.024055364,0.024225863,0.024133831,0.024072971,0.024124872,0.024192875,0.024138018,0.024230577,0.024072377,0.024216782,0.024189696,0.024112953,0.02417406,0.024186265,0.024149597,0.024171963,0.02466723,0.024786597,0.024545934,0.024591416,0.024743244,0.024732983,0.02463381,0.02479505,0.024579406,0.024629077,0.024817728,0.025033023,0.024743134,0.024699122,0.024820646,0.024263196,0.024391986,0.024940157,0.024561746
GlcNAc(ID:9),0.023835117,0.024087824,0.024156855,0.024222676,0.024107387,0.024171578,0.024055153,0.024225578,0.024123562,0.024067033,0.024126068,0.024189336,0.024133498,0.02423726,0.02407384,0.02421818,0.024190776,0.024120104,0.024166526,0.024184296,0.024156157,0.024168119,0.024689233,0.02481522,0.024528703,0.024588078,0.024757346,0.024712652,0.024635661,0.02478213,0.024570243,0.024628213,0.024808098,0.025057212,0.024754912,0.024702843,0.024831781,0.024258085,0.024382032,0.024921056,0.024559606
Gal(ID:10),0.023830384,0.024086025,0.024156023,0.024213161,0.024106532,0.024183745,0.024056787,0.024230229,0.024129715,0.024073431,0.02412404,0.02420025,0.024141902,0.024235819,0.024074357,0.024211971,0.024192799,0.024111813,0.02416893,0.024192147,0.024152152,0.024173787,0.02467841,0.024803407,0.024533179,0.024595384,0.024748467,0.024725717,0.024631368,0.024780583,0.02456558,0.024645943,0.024818052,0.02503708,0.024755137,0.024700237,0.024817515,0.024243359,0.02438799,0.024935018,0.024551583
GlcNAc(ID:11),0.02382567,0.024077607,0.024153322,0.02421641,0.024105659,0.024174996,0.024053268,0.024225341,0.024118893,0.024065968,0.024124958,0.024183739,0.024130743,0.0242291,0.024069889,0.024214454,0.024191825,0.024105305,0.0241624,0.02418064,0.024156325,0.024172474,0.024696596,0.024817022,0.024551924,0.024577312,0.024759721,0.02473765,0.024629751,0.024795566,0.024560854,0.024639148,0.024810132,0.02504774,0.024758743,0.024700303,0.024854138,0.024250662,0.02438425,0.024931975,0.024557495
Gal(ID:12),0.023830166,0.024080142,0.024150861,0.024208803,0.024101306,0.024174793,0.024054922,0.024217363,0.024116276,0.024065632,0.024121748,0.024191743,0.0241353,0.024226652,0.024069529,0.024209173,0.02418996,0.024101447,0.02416139,0.024184462,0.024153994,0.024167387,0.024691388,0.024800533,0.024536189,0.02459291,0.024754347,0.024727937,0.024630971,0.024790697,0.024577767,0.024661532,0.024824088,0.025039602,0.024763534,0.024698151,0.024839051,0.02424882,0.024404263,0.02494212,0.02456306
Fuc(ID:13),0.023828965,0.024094017,0.024156202,0.024214488,0.024102882,0.024179544,0.024059026,0.02422133,0.02412348,0.024072971,0.024124023,0.024197634,0.024138302,0.024226997,0.024070974,0.024219751,0.024189241,0.024111114,0.024172328,0.02418032,0.024160948,0.02415852,0.02469245,0.024794508,0.02452072,0.024583444,0.02478426,0.024713704,0.024631513,0.0248076,0.024575835,0.02467373,0.024802867,0.02502128,0.024744827,0.024697786,0.02483211,0.024257708,0.024394639,0.024917636,0.02455033
GlcNAc(ID:14),0.023828184,0.024101341,0.024152972,0.02422247,0.024104275,0.024175126,0.024052538,0.0242194,0.024124607,0.024069449,0.024116095,0.02418856,0.02413142,0.024229854,0.024070764,0.024215622,0.024186172,0.024110368,0.024161637,0.02417814,0.024160694,0.024161905,0.024693858,0.024810597,0.024545949,0.024588961,0.024754267,0.02472694,0.024627889,0.024797002,0.024567116,0.024648078,0.02480716,0.025051668,0.024758328,0.024704954,0.024843087,0.024254622,0.02437744,0.024921454,0.024559047
Man(ID:15),0.023831837,0.024079561,0.024147946,0.024215348,0.02410145,0.024168154,0.024050672,0.02422795,0.024121672,0.024066834,0.024111234,0.024185404,0.02413353,0.024233745,0.024064854,0.024208818,0.024191715,0.02410522,0.024159692,0.024183545,0.024155695,0.024164354,0.02468741,0.024811286,0.02455134,0.024596013,0.024768254,0.02473154,0.02464662,0.024789784,0.024557553,0.024645882,0.02481842,0.025050297,0.024751516,0.024707079,0.024829496,0.024272373,0.0243827,0.024922017,0.024571221
Man(ID:16),0.023844885,0.024086546,0.024146639,0.024213564,0.02409387,0.024172843,0.024051934,0.02421726,0.024122592,0.024062227,0.024114903,0.024180632,0.024133975,0.02422195,0.024065293,0.024213659,0.024175424,0.02410533,0.02416424,0.024173904,0.024151701,0.02416369,0.024688493,0.024808241,0.024544429,0.024605643,0.024770865,0.024739081,0.024648301,0.024801183,0.024564983,0.024644293,0.024819765,0.02505149,0.024760552,0.024712631,0.024813717,0.024256948,0.02440271,0.024927687,0.024561934
GlcNAc(ID:17),0.023826092,0.024090193,0.024148565,0.024217278,0.024098478,0.024170598,0.024050757,0.024219476,0.024113385,0.024057679,0.024114527,0.024183564,0.024130939,0.02422818,0.024060667,0.024213659,0.024181817,0.024097867,0.024151163,0.024175389,0.024150051,0.024162848,0.024704052,0.024809089,0.024543874,0.024585903,0.024782915,0.024744727,0.024628866,0.024793368,0.024577087,0.02466071,0.024824973,0.025055919,0.02475251,0.02469265,0.024851127,0.024250636,0.024400305,0.024933718,0.024564406
Fuc(ID:18),0.023841847,0.024088174,0.024150874,0.024214089,0.024103802,0.024180088,0.024053328,0.024226224,0.024132134,0.024068791,0.024122238,0.02419922,0.024131034,0.024219222,0.024060898,0.024220692,0.024185464,0.024113115,0.024170525,0.024182959,0.024159808,0.024163753,0.024682747,0.024783667,0.024526263,0.024588946,0.02478507,0.02473435,0.024639232,0.024810307,0.02459075,0.024643421,0.02481357,0.02501123,0.024745204,0.02469258,0.024820298,0.024254281,0.024391668,0.024935897,0.024562236
AllNAc(ID:19),0.023840036,0.024099799,0.024155919,0.024224423,0.024102846,0.024173453,0.024058262,0.024227368,0.024128385,0.024071964,0.024115454,0.024196263,0.024133453,0.024229728,0.024072813,0.024216564,0.024184588,0.02410362,0.024161858,0.02417836,0.024160057,0.024161348,0.024690572,0.02480757,0.02454872,0.024594838,0.024770442,0.024738891,0.024623476,0.024788456,0.024562404,0.024645256,0.024815058,0.025053358,0.024758179,0.024698127,0.024818711,0.024225041,0.02439422,0.024922773,0.02454734
b1-4(0->2),0.023827048,0.024084907,0.024175182,0.024225414,0.02410902,0.024164459,0.024067385,0.02421331,0.024125889,0.02406963,0.02413563,0.024182651,0.024148913,0.024218109,0.024083257,0.024206745,0.024169916,0.0241105,0.024152447,0.024163008,0.024126515,0.024152268,0.024695102,0.02487443,0.024536908,0.024595384,0.02476932,0.02470799,0.024653554,0.024799302,0.024610769,0.024658576,0.024814717,0.025015473,0.024745077,0.024740718,0.024822665,0.024279661,0.024346372,0.024901051,0.024520732
a1-3(1->2),0.023836307,0.024086913,0.024163345,0.024212854,0.02411277,0.024165412,0.024070445,0.024224449,0.024107192,0.024072472,0.024133097,0.024193868,0.024151538,0.024216708,0.024089012,0.024206083,0.024180576,0.024105795,0.02416418,0.02417965,0.02413679,0.024188206,0.024679502,0.02483989,0.024547815,0.02461135,0.02476276,0.024689095,0.024616422,0.024770178,0.024600215,0.024635898,0.024821397,0.025053719,0.024739703,0.02471207,0.024828957,0.024228632,0.024394616,0.024919111,0.024551004
b1-2(2->6),0.023836618,0.024090096,0.02415645,0.02422015,0.024116067,0.02417499,0.024060687,0.024220534,0.024133645,0.024080142,0.024141856,0.024201846,0.024145693,0.02423182,0.024092859,0.02420732,0.024192933,0.024119474,0.024173649,0.02418485,0.024154313,0.024177112,0.024656055,0.024812434,0.024527414,0.024578527,0.024745798,0.024662793,0.024663784,0.024774931,0.024600316,0.024631683,0.024796449,0.025034,0.02473318,0.024707822,0.02483116,0.024288977,0.024373645,0.024893109,0.024574805
a1-3(3->4),0.023836011,0.024070095,0.024151914,0.024211379,0.024117824,0.024169393,0.024064476,0.024222076,0.02413,0.024071634,0.02412597,0.024195395,0.024142465,0.0242325,0.024080016,0.024209552,0.024184294,0.024117786,0.024174932,0.024180055,0.024140988,0.024166835,0.024692433,0.024813153,0.024541326,0.024594292,0.024774594,0.024702359,0.024640363,0.024800587,0.024592116,0.024623783,0.024807367,0.025062954,0.024744343,0.024710752,0.024821231,0.024266038,0.024382468,0.024896303,0.024537934
b1-4(4->5),0.023841327,0.024121547,0.02417336,0.024228346,0.024122825,0.024170075,0.024077253,0.0242254,0.024129365,0.024079494,0.024137707,0.024195187,0.02415939,0.024235524,0.024097322,0.024209037,0.024179298,0.024104984,0.024151959,0.0241846,0.024148282,0.024155205,0.024681576,0.024853043,0.024554819,0.024584545,0.024746943,0.0247051,0.02463879,0.024771469,0.024593355,0.024668738,0.024807129,0.025028938,0.024726145,0.024689704,0.024838414,0.024260418,0.024357885,0.024869556,0.024495948
b1-4(5->6),0.023837691,0.024080357,0.024172258,0.024234308,0.024107581,0.02418139,0.024073958,0.024212975,0.024132702,0.02406912,0.024154559,0.024193255,0.024164118,0.024220534,0.024089856,0.024205282,0.02417358,0.024109887,0.024169732,0.024164736,0.024147544,0.024156667,0.024660219,0.02485944,0.0245464,0.024597168,0.024745397,0.024683958,0.024668982,0.024791615,0.024608174,0.024651047,0.024790987,0.025023937,0.024701402,0.024725612,0.024817087,0.024303934,0.024348896,0.0248782,0.024545453
