,[GRAPH_TOKEN],[NULL_TOKEN],Gal(ID:0),Fuc(ID:1),GlcNAc(ID:2),Gal(ID:3),Gal(ID:4),GlcNAc(ID:5),Man(ID:6),GlcNAc(ID:7),Gal(ID:8),GlcNAc(ID:9),Gal(ID:10),GlcNAc(ID:11),Gal(ID:12),Fuc(ID:13),GlcNAc(ID:14),Man(ID:15),Man(ID:16),GlcNAc(ID:17),Fuc(ID:18),AllNAc(ID:19),b1-4(0->2),a1-3(1->2),b1-2(2->6),a1-3(3->4),b1-4(4->5),b1-4(5->6),a1-3(6->16),b1-4(7->16),b1-4(8->9),b1-3(9->10),b1-4(10->11),b1-2(11->15),b1-4(12->14),a1-3(13->14),b1-6(14->15),a1-6(15->16),b1-4(16->17),b1-4(17->19),a1-6(18->19)
a1-3(6->16),0.02072354,0.020450296,0.023930194,0.023551174,0.029798497,0.028345937,0.03204818,0.030749116,0.04190195,0.023347419,0.023571653,0.031509347,0.032038104,0.027606232,0.026369166,0.0247468,0.026134841,0.040570226,0.03524864,0.03703194,0.023424864,0.01824785,0.027603202,0.017605819,0.018754128,0.01759794,0.023176182,0.025641218,0.01389133,0.020025838,0.02165129,0.021926079,0.026159652,0.020214071,0.01915444,0.0144086825,0.0150433,0.013859674,0.024974898,0.021969771,0.014996521
b1-4(7->16),0.01860113,0.018309442,0.028515246,0.028173875,0.026090547,0.029647103,0.032973856,0.029659994,0.038447738,0.021500435,0.026833043,0.0267421,0.044718303,0.02469733,0.029877458,0.029100584,0.023407789,0.043506827,0.030993655,0.03342516,0.027561057,0.018570594,0.028742233,0.014952121,0.01384937,0.023263864,0.02421465,0.02675793,0.014021743,0.017257119,0.022261824,0.019663438,0.024778057,0.01595347,0.021045312,0.012520978,0.010497807,0.013250969,0.025538191,0.024700232,0.015377423
b1-4(8->9),0.020979675,0.020997655,0.047436096,0.01959666,0.019537423,0.0345461,0.026203886,0.01591083,0.017186709,0.018357717,0.047802463,0.014892552,0.03513978,0.01604025,0.037426107,0.018813414,0.012844278,0.014989892,0.016833033,0.013826486,0.01671796,0.019394062,0.015537243,0.027861807,0.025109258,0.037304617,0.015635094,0.016600003,0.020444904,0.032417785,0.012961991,0.095739245,0.013112396,0.018866532,0.011503628,0.038267687,0.04043942,0.021045592,0.015359771,0.015901458,0.020418547
b1-3(9->10),0.022069115,0.022251,0.028589185,0.035570286,0.026949571,0.022823464,0.026536752,0.02072573,0.030148286,0.030400962,0.02464538,0.02400357,0.0456011,0.01895948,0.023451015,0.033128362,0.015473916,0.030358074,0.024273874,0.021535497,0.02527609,0.021363676,0.04067501,0.016844856,0.01570944,0.01870017,0.03155691,0.02066442,0.01404869,0.024252724,0.030320123,0.03692915,0.02618898,0.016023675,0.023133771,0.009902101,0.015319578,0.014706585,0.027338818,0.027714655,0.01583594
b1-4(10->11),0.021599425,0.021368288,0.03278419,0.020052047,0.016044183,0.031454567,0.023003979,0.011367992,0.02080714,0.01402595,0.03473618,0.013090521,0.023657504,0.013506794,0.02977732,0.0209447,0.012132268,0.02024369,0.017201127,0.0104221,0.020644814,0.023487486,0.0077796825,0.01865128,0.038292136,0.048385702,0.008907263,0.01224174,0.023429757,0.058616355,0.008297441,0.09658693,0.009175103,0.023640746,0.007846708,0.0463477,0.059321325,0.022047985,0.008438259,0.021534164,0.028107457
b1-2(11->15),0.02155314,0.02133471,0.032876454,0.03720541,0.026910707,0.027315864,0.028232396,0.023515778,0.038745694,0.021566492,0.030359335,0.024191342,0.043526236,0.021405036,0.02878544,0.035660546,0.019405399,0.04097552,0.028942734,0.024567753,0.0289741,0.020376485,0.032260183,0.012969653,0.012933601,0.021696905,0.027386904,0.02586151,0.010283452,0.020915385,0.024014808,0.025419915,0.024587987,0.017532997,0.022109296,0.0077257967,0.012884662,0.013190832,0.024082383,0.02264198,0.015075156
b1-4(12->14),0.020982046,0.020762013,0.040385943,0.022545138,0.017814789,0.035180967,0.030281585,0.014136769,0.023104614,0.016820636,0.04329499,0.015058319,0.033370376,0.015916726,0.035042185,0.022233382,0.013532361,0.021766271,0.020974189,0.01501953,0.019164216,0.019745218,0.01208945,0.024069041,0.031723645,0.023527429,0.01353184,0.019800305,0.020907367,0.042268388,0.011416394,0.06666128,0.012435296,0.025295623,0.0105798105,0.041708104,0.050327808,0.021234931,0.013223764,0.019020934,0.023046307
a1-3(13->14),0.023025377,0.022667255,0.038971588,0.025536556,0.02184949,0.034172118,0.034528915,0.021462176,0.0314588,0.020401401,0.038441714,0.024523646,0.03931992,0.021903634,0.034262344,0.026025314,0.022111349,0.03063069,0.03017074,0.02698659,0.02457807,0.020542622,0.017911248,0.016950008,0.016993249,0.018376363,0.019020366,0.020779015,0.014299493,0.031293597,0.0148398485,0.03416768,0.019049766,0.01900666,0.016257374,0.020533573,0.03411359,0.016638622,0.017532239,0.020420624,0.018246362
b1-6(14->15),0.022021681,0.021620113,0.033167463,0.04353494,0.027308714,0.03187525,0.029852033,0.02461447,0.046559174,0.022190724,0.027915824,0.022524258,0.049307853,0.02111952,0.026595015,0.042201247,0.018232957,0.049400136,0.031138528,0.027473837,0.03122991,0.016434373,0.0314104,0.015359105,0.010554355,0.01832663,0.02564553,0.028208423,0.0076344456,0.018459365,0.022693174,0.014616578,0.024895977,0.012326691,0.020237096,0.007969143,0.010680658,0.009544437,0.023077503,0.019276645,0.012765837
a1-6(15->16),0.020268667,0.020124208,0.031015674,0.022119364,0.02068616,0.030409476,0.038730614,0.025280293,0.029906712,0.02319493,0.03145345,0.023712125,0.037575442,0.02106255,0.033387367,0.02170072,0.020408474,0.02858765,0.029012844,0.027697988,0.02040085,0.016316071,0.020630758,0.017733347,0.025042668,0.023529187,0.023419837,0.025951207,0.016870443,0.022886988,0.02064929,0.040984526,0.020137915,0.02644137,0.017357018,0.016494215,0.025750212,0.016226737,0.025718365,0.022801772,0.01832253
b1-4(16->17),0.018761123,0.018514678,0.03365255,0.016169641,0.020539245,0.034501027,0.03418232,0.019358164,0.024934983,0.015860118,0.03388579,0.02357909,0.03872876,0.021124242,0.03154631,0.016601902,0.020943474,0.021897145,0.025258537,0.022076186,0.013833568,0.018210445,0.014641665,0.01743377,0.023276117,0.042621866,0.015787832,0.02887318,0.01826113,0.044821676,0.01574588,0.06412276,0.016394895,0.02552722,0.014068741,0.037994605,0.024788601,0.018589828,0.01969636,0.018659733,0.014534856
b1-4(17->19),0.01979103,0.019623782,0.035546698,0.02057726,0.019707143,0.034733284,0.034520153,0.021781154,0.029425804,0.017294407,0.03403069,0.020370074,0.045296285,0.02026863,0.03168079,0.020697549,0.02066501,0.033225667,0.03527697,0.022842526,0.016180284,0.024557963,0.016689908,0.0151335765,0.018008713,0.03618353,0.019475466,0.036628693,0.015785819,0.047885127,0.015112262,0.044280566,0.018092671,0.021305554,0.013764976,0.017091466,0.011290664,0.017205477,0.019725064,0.022200564,0.016046762
a1-6(18->19),0.020359894,0.02039136,0.044771735,0.02287624,0.019115333,0.03303385,0.037754014,0.01754684,0.026228603,0.017392272,0.041947067,0.021492325,0.0469066,0.021017859,0.03695325,0.021867216,0.021276554,0.028702913,0.031377155,0.020890292,0.017183853,0.018829554,0.0170625,0.014262164,0.024678249,0.030308293,0.01753105,0.03016651,0.016267192,0.046845324,0.016898327,0.040210623,0.01775469,0.02342226,0.015983867,0.019233778,0.015474217,0.0135683175,0.018430963,0.020268304,0.013718607
