Model Size,Task,Classifier,Seed,C,kernel,colsample_bytree,learning_rate,max_depth,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample,gamma
small_multitask_mask_15,kingdom,LGBM,1,,,0.7668088018810296,0.11587950184865049,14.0,815.0,99.0,0.05108188686258306,0.15478974396671022,0.755164296464803,
small_multitask_mask_15,kingdom,LGBM,2,,,0.9973065177846362,0.029223525724947828,17.0,866.0,60.0,0.11508696467556201,0.25323718685559815,0.7096693037561841,
small_multitask_mask_15,phylum,SVM,0,22.390342721683695,linear,,,,,,,,,
small_multitask_mask_15,phylum,SVM,1,2.2321849928717583,linear,,,,,,,,,
small_multitask_mask_15,phylum,SVM,2,1.2484030808286068,linear,,,,,,,,,
small_multitask_mask_15,phylum,LGBM,0,,,0.6527191449617569,0.11431471515815911,5.0,906.0,39.0,0.15612133571202763,0.4554748900348601,0.6659761840967536,
small_multitask_mask_15,phylum,LGBM,1,,,0.8143585623662046,0.09561040970689902,11.0,614.0,96.0,0.012285817917393638,4.460426911895981,0.8163152758403859,
small_multitask_mask_15,phylum,LGBM,2,,,0.6676901786336712,0.027091362274609277,12.0,735.0,63.0,0.0137099823515695,8.901441378162104,0.7765419677419387,
small_multitask_mask_15,class,SVM,0,61.06267064873812,linear,,,,,,,,,
small_multitask_mask_15,class,SVM,1,96.81085478045662,linear,,,,,,,,,
small_multitask_mask_15,class,SVM,2,1.2484030808286068,linear,,,,,,,,,
small_multitask_mask_15,class,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
small_multitask_mask_15,class,LGBM,1,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188,
small_multitask_mask_15,class,LGBM,2,,,0.7743979608568015,0.010921849507601297,11.0,399.0,95.0,0.18243300267253287,0.09795000511540235,0.681859453615137,
small_multitask_mask_15,order,SVM,0,61.06267064873812,linear,,,,,,,,,
small_multitask_mask_15,order,SVM,1,96.81085478045662,linear,,,,,,,,,
small_multitask_mask_15,order,SVM,2,1.2484030808286068,linear,,,,,,,,,
small_multitask_mask_15,order,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
small_multitask_mask_15,order,LGBM,1,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188,
small_multitask_mask_15,order,LGBM,2,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403,
small_multitask_mask_15,family,SVM,0,22.390342721683695,linear,,,,,,,,,
small_multitask_mask_15,family,SVM,1,96.81085478045662,linear,,,,,,,,,
small_multitask_mask_15,family,SVM,2,1.2484030808286068,linear,,,,,,,,,
small_multitask_mask_15,family,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
small_multitask_mask_15,family,LGBM,1,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026,
small_multitask_mask_15,family,LGBM,2,,,0.7743979608568015,0.010921849507601297,11.0,399.0,95.0,0.18243300267253287,0.09795000511540235,0.681859453615137,
small_multitask_mask_15,genus,SVM,0,22.390342721683695,linear,,,,,,,,,
small_multitask_mask_15,genus,SVM,1,96.81085478045662,linear,,,,,,,,,
small_multitask_mask_15,genus,SVM,2,1.2484030808286068,linear,,,,,,,,,
small_multitask_mask_15,genus,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
small_multitask_mask_15,genus,LGBM,1,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026,
small_multitask_mask_15,genus,LGBM,2,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403,
small_multitask_mask_15,species,SVM,0,61.06267064873812,linear,,,,,,,,,
small_multitask_mask_15,species,SVM,1,96.81085478045662,linear,,,,,,,,,
small_multitask_mask_15,species,SVM,2,1.2484030808286068,linear,,,,,,,,,
small_multitask_mask_15,species,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
small_multitask_mask_15,species,LGBM,1,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026,
small_multitask_mask_15,species,LGBM,2,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403,
small_multitask_mask_15,immunogenicity,SVM,0,0.9209225155490888,rbf,,,,,,,,,0.03410336598413758
small_multitask_mask_15,immunogenicity,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
small_multitask_mask_15,immunogenicity,SVM,2,1.275466815572557,rbf,,,,,,,,,0.003867464027059848
small_multitask_mask_15,immunogenicity,LGBM,0,,,0.7845917449011728,0.1422119973969722,19.0,523.0,52.0,0.5572619319129039,0.40937346448417417,0.9034462497289428,
small_multitask_mask_15,immunogenicity,LGBM,1,,,0.6109550372791704,0.09780516945944194,12.0,853.0,116.0,2.1635538496132702,1.405761185734689,0.921103001574946,
small_multitask_mask_15,immunogenicity,LGBM,2,,,0.8016001757516611,0.030054517277341375,18.0,126.0,59.0,0.151984704997355,6.020606615527683,0.602217767772706,
small_multitask_mask_15,link,SVM,0,1.3116515715358075,linear,,,,,,,,,
small_multitask_mask_15,link,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
small_multitask_mask_15,link,SVM,2,1.2484030808286068,linear,,,,,,,,,
small_multitask_mask_15,link,LGBM,0,,,0.6527191449617569,0.11431471515815911,5.0,906.0,39.0,0.15612133571202763,0.4554748900348601,0.6659761840967536,
small_multitask_mask_15,link,LGBM,1,,,0.8682112160275781,0.07516742665879303,11.0,661.0,77.0,0.03914287256840741,0.07394161323427771,0.6568480541899827,
small_multitask_mask_15,link,LGBM,2,,,0.9973065177846362,0.029223525724947828,17.0,866.0,60.0,0.11508696467556201,0.25323718685559815,0.7096693037561841,
medium_multitask_mask_15,domain,SVM,0,0.44103656679709824,linear,,,,,,,,,
medium_multitask_mask_15,domain,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
medium_multitask_mask_15,domain,SVM,2,1.275466815572557,rbf,,,,,,,,,0.003867464027059848
medium_multitask_mask_15,domain,LGBM,0,,,0.8035875842668058,0.22600131185297773,15.0,805.0,56.0,6.136045802294309,0.09030397288885933,0.8669641519854727,
medium_multitask_mask_15,domain,LGBM,1,,,0.8143585623662046,0.09561040970689902,11.0,614.0,96.0,0.012285817917393638,4.460426911895981,0.8163152758403859,
medium_multitask_mask_15,domain,LGBM,2,,,0.914468896897069,0.061100092095880264,10.0,846.0,112.0,1.7633301562711625,2.48746490605933,0.8173380922335611,
medium_multitask_mask_15,kingdom,SVM,0,0.5301709347576824,linear,,,,,,,,,
medium_multitask_mask_15,kingdom,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
medium_multitask_mask_15,kingdom,SVM,2,1.275466815572557,rbf,,,,,,,,,0.003867464027059848
medium_multitask_mask_15,kingdom,LGBM,0,,,0.9981198270711551,0.07235415712774491,19.0,243.0,43.0,0.10328157319309919,1.057443000344446,0.7268806968277184,
medium_multitask_mask_15,kingdom,LGBM,1,,,0.8143585623662046,0.09561040970689902,11.0,614.0,96.0,0.012285817917393638,4.460426911895981,0.8163152758403859,
medium_multitask_mask_15,kingdom,LGBM,2,,,0.6676901786336712,0.027091362274609277,12.0,735.0,63.0,0.0137099823515695,8.901441378162104,0.7765419677419387,
medium_multitask_mask_15,phylum,SVM,0,0.5301709347576824,linear,,,,,,,,,
medium_multitask_mask_15,phylum,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
medium_multitask_mask_15,phylum,SVM,2,0.1501799526595153,linear,,,,,,,,,
medium_multitask_mask_15,phylum,LGBM,0,,,0.9981198270711551,0.07235415712774491,19.0,243.0,43.0,0.10328157319309919,1.057443000344446,0.7268806968277184,
medium_multitask_mask_15,phylum,LGBM,1,,,0.7668088018810296,0.11587950184865049,14.0,815.0,99.0,0.05108188686258306,0.15478974396671022,0.755164296464803,
medium_multitask_mask_15,phylum,LGBM,2,,,0.9973065177846362,0.029223525724947828,17.0,866.0,60.0,0.11508696467556201,0.25323718685559815,0.7096693037561841,
medium_multitask_mask_15,class,SVM,0,0.5301709347576824,linear,,,,,,,,,
medium_multitask_mask_15,class,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
medium_multitask_mask_15,class,SVM,2,1.2484030808286068,linear,,,,,,,,,
medium_multitask_mask_15,class,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
medium_multitask_mask_15,class,LGBM,1,,,0.8143585623662046,0.09561040970689902,11.0,614.0,96.0,0.012285817917393638,4.460426911895981,0.8163152758403859,
