,[GRAPH_TOKEN],[NULL_TOKEN],Gal(ID:0),Fuc(ID:1),GlcNAc(ID:2),Gal(ID:3),Gal(ID:4),GlcNAc(ID:5),Man(ID:6),GlcNAc(ID:7),Gal(ID:8),GlcNAc(ID:9),Gal(ID:10),GlcNAc(ID:11),Gal(ID:12),Fuc(ID:13),GlcNAc(ID:14),Man(ID:15),Man(ID:16),GlcNAc(ID:17),Fuc(ID:18),AllNAc(ID:19),b1-4(0->2),a1-3(1->2),b1-2(2->6),a1-3(3->4),b1-4(4->5),b1-4(5->6),a1-3(6->16),b1-4(7->16),b1-4(8->9),b1-3(9->10),b1-4(10->11),b1-2(11->15),b1-4(12->14),a1-3(13->14),b1-6(14->15),a1-6(15->16),b1-4(16->17),b1-4(17->19),a1-6(18->19)
b1-4(5->6),0.01174067,0.011603443,0.013217875,0.02122758,0.011032235,0.0143105155,0.015155539,0.011527425,0.05324099,0.011278944,0.014504837,0.01052301,0.01634133,0.0100158695,0.014546857,0.01984962,0.010985996,0.040799335,0.03926087,0.011559555,0.019491352,0.042064495,0.01290109,0.023888448,0.120003805,0.025966229,0.016692065,0.042170182,0.06207561,0.018544447,0.0128103895,0.020409703,0.015168228,0.046802346,0.014572296,0.02674057,0.031550076,0.030169256,0.018344041,0.016664231,0.020248663
a1-3(6->16),0.015302574,0.015170574,0.016451936,0.01707363,0.0145210875,0.016904347,0.01666611,0.014142937,0.049933955,0.014058602,0.017329097,0.013526262,0.017290005,0.013921561,0.017264893,0.016060546,0.0145375375,0.039549876,0.034894947,0.014073293,0.015549458,0.03287708,0.015165075,0.03800556,0.040223584,0.032358773,0.018364066,0.039720155,0.086619,0.023366254,0.015547825,0.019575398,0.017098378,0.02573441,0.016641079,0.04082541,0.024426125,0.048995502,0.019066555,0.018831614,0.022334943
b1-4(7->16),0.012685591,0.012619436,0.016819224,0.03481164,0.013372606,0.016095042,0.014036058,0.013717731,0.058092337,0.012755528,0.016030826,0.012417939,0.014915987,0.012050362,0.017386734,0.03307823,0.013384917,0.051715203,0.047643907,0.0133135,0.031243194,0.06417457,0.013643237,0.02410324,0.07463073,0.031960227,0.016496332,0.02929195,0.03699143,0.015508314,0.013734312,0.022463866,0.014688364,0.033099685,0.013836708,0.027141962,0.018417712,0.026220044,0.016058575,0.014686495,0.024666268
b1-4(8->9),0.0127073135,0.012687437,0.012342496,0.03459113,0.013858654,0.011149676,0.009647956,0.012997286,0.056120224,0.013092265,0.011232715,0.0126567725,0.009410389,0.012891324,0.011466397,0.035455327,0.013363115,0.06514622,0.050081167,0.013012931,0.03425216,0.109936915,0.016124032,0.06381307,0.022349974,0.031320944,0.015963992,0.016295418,0.023725975,0.012717504,0.016054936,0.017984357,0.016536713,0.01563972,0.014628463,0.06831393,0.0154721765,0.014349025,0.013907251,0.011537811,0.025164835
b1-3(9->10),0.012778043,0.0124732265,0.018496152,0.017199336,0.014101981,0.01833106,0.018042656,0.012396387,0.037185058,0.013169316,0.017938955,0.0129670855,0.018066192,0.013886335,0.019340016,0.019290078,0.013009792,0.048034385,0.036016867,0.012710538,0.017233187,0.14407015,0.0142383035,0.05876308,0.014020907,0.036424898,0.014463179,0.015492801,0.01682051,0.014819118,0.014141429,0.029010609,0.014519525,0.022404773,0.013355195,0.07422759,0.032092694,0.014360853,0.015426035,0.016041415,0.022640295
b1-4(10->11),0.01209781,0.011993678,0.012317918,0.03697649,0.013311734,0.01091641,0.009856796,0.012228426,0.057858754,0.012368061,0.010866375,0.011855988,0.009070133,0.012361931,0.011376164,0.037735198,0.012653387,0.06501938,0.052825425,0.012219351,0.03610817,0.11199784,0.015162896,0.060958527,0.02238441,0.03287321,0.014899092,0.018198017,0.029156327,0.012471075,0.014674699,0.01840965,0.015165147,0.014229871,0.01315192,0.06533418,0.015603136,0.015711889,0.013020627,0.010612041,0.023967879
b1-2(11->15),0.019229759,0.019589491,0.0143190315,0.0119395675,0.01613884,0.014368552,0.016276062,0.015317007,0.045100525,0.014998782,0.014992995,0.014621893,0.019813795,0.015318181,0.015758784,0.012237115,0.015840985,0.06262223,0.04510411,0.015016128,0.01199488,0.050416425,0.018282749,0.016277768,0.02572682,0.024214154,0.021447591,0.06942734,0.02959856,0.02032688,0.01760087,0.044895127,0.020194136,0.035080433,0.01894258,0.019093439,0.061191134,0.018694507,0.022733921,0.022228956,0.013027895
b1-4(12->14),0.012304267,0.01226435,0.011800174,0.03372723,0.014409862,0.010359203,0.009009329,0.013518246,0.05720303,0.013764936,0.01038934,0.013014282,0.008416265,0.013193099,0.010894288,0.033983547,0.013917759,0.061785586,0.051715817,0.013537863,0.032634106,0.10854107,0.015080702,0.06162834,0.022940181,0.031019028,0.015379106,0.018861223,0.037371095,0.013484018,0.0149068395,0.017738393,0.015559095,0.013681922,0.013727162,0.067064464,0.014857207,0.0149211325,0.01377569,0.011652015,0.02596872
a1-3(13->14),0.010489197,0.0105016045,0.018461104,0.06306917,0.015945014,0.016756553,0.013985972,0.015755087,0.038506735,0.016180137,0.016359631,0.01769674,0.012618107,0.017895991,0.01532756,0.06870231,0.016864918,0.040719017,0.038068563,0.0149980765,0.0709714,0.07698993,0.013859003,0.07497966,0.008752362,0.025866799,0.011039427,0.007104265,0.00886659,0.009100938,0.015568461,0.010247331,0.013045033,0.007401833,0.0122549115,0.0778842,0.009202662,0.02145897,0.009208764,0.008617241,0.028678706
b1-6(14->15),0.017496645,0.01696905,0.013150198,0.016562203,0.01899627,0.01284699,0.01439534,0.019601233,0.031296425,0.019278327,0.013503054,0.018197015,0.015327513,0.018675946,0.013544522,0.01644937,0.01950282,0.04157098,0.03137142,0.019321706,0.017041782,0.03630229,0.015820282,0.012414131,0.01706332,0.01866367,0.020271394,0.080739655,0.022306588,0.02969144,0.016704377,0.042680435,0.019481111,0.06660636,0.017737713,0.012080089,0.072335124,0.024531648,0.025677387,0.027655598,0.016138585
a1-6(15->16),0.02185303,0.02238288,0.017566077,0.023720304,0.026799055,0.018786853,0.019247152,0.027130414,0.020116936,0.027215973,0.01882075,0.025694864,0.019875536,0.025471725,0.017682837,0.022342712,0.027383508,0.021435069,0.019267343,0.027767427,0.022814311,0.051029317,0.023533996,0.023279972,0.021873273,0.014506491,0.026125018,0.025178548,0.03716247,0.027939308,0.024265375,0.01696332,0.025592962,0.027567226,0.025234438,0.02471359,0.025891421,0.032015853,0.025887955,0.024112478,0.023752235
b1-4(16->17),0.0137191545,0.013622006,0.013202002,0.035487235,0.012924514,0.011838509,0.010983497,0.012569543,0.06041019,0.012006106,0.011788115,0.011400163,0.011353751,0.011917644,0.012620304,0.033431396,0.012482515,0.067331046,0.057627898,0.01198734,0.03213525,0.077160776,0.017457735,0.03554515,0.028690765,0.046356656,0.017593224,0.027988512,0.046014097,0.01414619,0.016743336,0.022480689,0.016967893,0.019411102,0.014949733,0.03385409,0.017319972,0.024476508,0.015555562,0.011706473,0.02474337
b1-4(17->19),0.012766965,0.012796227,0.016044373,0.03519871,0.012860678,0.014825708,0.012727979,0.013409208,0.056289233,0.012250641,0.014631952,0.011871902,0.013487117,0.011882819,0.01600409,0.033250067,0.012556523,0.059574753,0.052682362,0.012720287,0.03188186,0.078956254,0.014834622,0.029234067,0.052901197,0.036293916,0.016952805,0.02924643,0.033551294,0.01477949,0.0146027645,0.023342647,0.015156569,0.02614136,0.013993552,0.031683087,0.017375126,0.025709672,0.015545026,0.013944661,0.026042012
a1-6(18->19),0.02063586,0.021493621,0.019520268,0.02446126,0.028998204,0.01909979,0.019524952,0.028305223,0.022419441,0.028634826,0.020177426,0.027981574,0.02100622,0.027433919,0.0192791,0.023301596,0.029259298,0.03166113,0.023951154,0.02937292,0.024117729,0.058957014,0.02448137,0.024848308,0.017340725,0.01603618,0.025454424,0.019558981,0.031104099,0.022351418,0.024955098,0.013687793,0.025805779,0.017520398,0.025819326,0.025163934,0.02058734,0.021015719,0.025555462,0.021797199,0.027323913
